# Constructed from biom file
#OTU ID	SRR22283598	SRR22283599	SRR22283600	SRR22283601	SRR22283602	SRR22283603	SRR22283604	SRR22283605	SRR22283606	SRR22283607	SRR22283608	SRR22283609	SRR22283610	SRR22283611	SRR22283612	SRR22283613	SRR22283614	SRR22283615	SRR22283616	SRR22283617	SRR22283618	SRR22283619	SRR22283620	SRR22283621	SRR22283622	SRR22283623	SRR22283624	SRR22283625	SRR22283626	SRR22283627	SRR22283628	SRR22283629	SRR22283630	SRR22283631	SRR22283632	SRR22283633	SRR22283634	SRR22283635	SRR22283636	SRR22283637	SRR22283638	SRR22283639	SRR22283640	SRR22283641	SRR22283642	SRR22283643	SRR22283644	SRR22283645	SRR22283646	SRR22283647	SRR22283648	SRR22283649	SRR22283650	SRR22283651	SRR22283652	SRR22283653	SRR22283654	SRR22283655	SRR22283656	SRR22283657	SRR22283658	SRR22283659	SRR22283660	SRR22283661	SRR22283662	SRR22283663	SRR22283664	SRR22283665	SRR22283666	SRR22283667	SRR22283668	SRR22283669	SRR22283670	SRR22283671	SRR22283672	SRR22283673	SRR22283674	SRR22283675	SRR22283676	SRR22283677	SRR22283678	SRR22283679	SRR22283680	SRR22283681	SRR22283682	SRR22283683	SRR22283684	SRR22283685	SRR22283686	SRR22283687	SRR22283688	SRR22283689	SRR22283690	SRR22283691	SRR22283692	SRR22283693	SRR22283694	SRR22283695	SRR22283696	SRR22283697	SRR22283698	SRR22283699	SRR22283700	SRR22283701	SRR22283702	SRR22283703	SRR22283704	SRR22283705	SRR22283706	SRR22283707	SRR22283708	SRR22283709	SRR22283710	SRR22283711	SRR22283712	SRR22283713	SRR22283714	SRR22283715	SRR22283716	SRR22283717	SRR22283718	SRR22283719	SRR22283720	SRR22283721	SRR22283722	SRR22283723	SRR22283724	SRR22283725	SRR22283726	SRR22283727	SRR22283728	SRR22283729	SRR22283730	SRR22283731	SRR22283732	SRR22283733	SRR22283734	SRR22283735	SRR22283736	SRR22283737	SRR22283738	SRR22283739	SRR22283740	SRR22283741	SRR22283742	SRR22283743	SRR22283744	SRR22283745	SRR22283746	SRR22283747	SRR22283748	SRR22283749	SRR22283750	SRR22283751	SRR22283752	SRR22283753	SRR22283754	SRR22283755	SRR22283756	SRR22283757	SRR22283758	SRR22283759	SRR22283760	SRR22283761	SRR22283762	SRR22283763	SRR22283764	SRR22283765	SRR22283766	SRR22283767	SRR22283768	SRR22283769	SRR22283770	SRR22283771	SRR22283772	SRR22283773	SRR22283774	SRR22283775	SRR22283776	SRR22283777	SRR22283778	SRR22283779	SRR22283780	SRR22283781	SRR22283782	SRR22283783	SRR22283784	SRR22283785	SRR22283786	SRR22283787	SRR22283788	SRR22283789	SRR22283790	SRR22283791	SRR22283792	SRR22283793	SRR22283794	SRR22283795	SRR22283796	SRR22283797	SRR22283798	SRR22283799	SRR22283800	SRR22283801	SRR22283802	SRR22283803	SRR22283804	SRR22283805	SRR22283806	SRR22283807	SRR22283808	SRR22283809	SRR22283810	SRR22283811	SRR22283812	SRR22283813	SRR22283814	SRR22283815	SRR22283816	SRR22283817	SRR22283818	SRR22283819	SRR22283820	SRR22283821	SRR22283822	SRR22283823	SRR22283824	SRR22283825	SRR22283826	SRR22283827	SRR22283828	SRR22283829	SRR22283831	SRR22283832	SRR22283833	SRR22283834	SRR22283835	SRR22283836	SRR22283837	SRR22283838	SRR22283839	SRR22283840	SRR22283841	SRR22283842	SRR22283843	SRR22283844	SRR22283845	SRR22283846	SRR22283847	SRR22283848	SRR22283849	SRR22283850	SRR22283851	SRR22283852	SRR22283853	SRR22283854	SRR22283855	SRR22283856	SRR22283857	SRR22283858	SRR22283859	SRR22283860	SRR22283861	SRR22283862	SRR22283863	SRR22283864	SRR22283865	SRR22283866	SRR22283867	SRR22283868	SRR22283869
d46e2205f0c6ecf67b51f83d111c509c	53.0	32.0	120.0	88.0	103.0	158.0	432.0	20.0	67.0	133.0	1497.0	182.0	146.0	315.0	505.0	418.0	1816.0	3855.0	262.0	7460.0	7629.0	4982.0	65.0	859.0	651.0	790.0	772.0	921.0	461.0	1368.0	462.0	524.0	655.0	70.0	70.0	79.0	158.0	34.0	23.0	25.0	9.0	128.0	41.0	18.0	58.0	50.0	70.0	2596.0	0.0	589.0	5180.0	168.0	243.0	416.0	735.0	401.0	1566.0	5908.0	2189.0	183.0	5702.0	2791.0	466.0	444.0	481.0	1385.0	1479.0	1460.0	744.0	29.0	420.0	145.0	106.0	82.0	125.0	133.0	153.0	714.0	1308.0	49.0	805.0	931.0	302.0	1638.0	2050.0	1320.0	1059.0	514.0	1195.0	223.0	1017.0	35.0	345.0	155.0	3646.0	7399.0	229.0	2381.0	1191.0	1453.0	144.0	675.0	233.0	202.0	159.0	199.0	187.0	224.0	461.0	510.0	553.0	0.0	0.0	0.0	0.0	0.0	0.0	307.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	509.0	0.0	0.0	0.0	875.0	1497.0	483.0	1465.0	592.0	1723.0	2528.0	358.0	893.0	5890.0	632.0	2677.0	573.0	4336.0	1431.0	572.0	1226.0	1529.0	830.0	1594.0	392.0	754.0	511.0	354.0	265.0	351.0	387.0	1289.0	2010.0	4124.0	2266.0	6114.0	916.0	729.0	585.0	579.0	2446.0	70.0	913.0	467.0	476.0	25.0	76.0	137.0	76.0	166.0	574.0	82.0	90.0	214.0	0.0	107.0	79.0	38.0	70.0	874.0	1220.0	294.0	7939.0	2103.0	1414.0	1589.0	828.0	780.0	373.0	633.0	198.0	85.0	1676.0	3868.0	0.0	858.0	883.0	813.0	712.0	1313.0	127.0	60.0	135.0	23.0	2012.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5737.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	437.0	0.0	0.0	2862.0	311.0	435.0	2269.0	7822.0	2123.0	5636.0	478.0	1107.0	340.0	7199.0	637.0	372.0	557.0	758.0	1478.0	1689.0	103.0	37.0	1490.0	64.0	89.0
0df6c802966e8670279671824da4f10a	0.0	42.0	134.0	0.0	14.0	0.0	9.0	0.0	0.0	0.0	147.0	0.0	26.0	44.0	274.0	100.0	1022.0	0.0	523.0	0.0	0.0	624.0	31.0	272.0	191.0	0.0	0.0	178.0	196.0	193.0	114.0	0.0	0.0	7.0	9.0	20.0	35.0	31.0	0.0	0.0	12.0	23.0	0.0	13.0	0.0	36.0	34.0	206.0	370.0	3869.0	0.0	2018.0	997.0	589.0	305.0	93.0	6504.0	167.0	49.0	284.0	0.0	0.0	0.0	21.0	28.0	373.0	0.0	165.0	0.0	0.0	167.0	18.0	58.0	181.0	198.0	99.0	242.0	57.0	136.0	978.0	25.0	0.0	701.0	199.0	1158.0	795.0	632.0	574.0	2321.0	3182.0	946.0	2460.0	929.0	251.0	92.0	0.0	124.0	0.0	44.0	175.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	479.0	667.0	0.0	0.0	0.0	0.0	0.0	0.0	707.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	447.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	292.0	0.0	0.0	3673.0	216.0	1381.0	2233.0	1325.0	1096.0	1495.0	57.0	431.0	1493.0	1261.0	557.0	470.0	241.0	1712.0	0.0	145.0	473.0	616.0	524.0	529.0	3688.0	78.0	151.0	547.0	358.0	20.0	108.0	110.0	1474.0	272.0	84.0	0.0	0.0	0.0	137.0	894.0	8.0	0.0	150.0	0.0	0.0	30.0	53.0	0.0	66.0	107.0	505.0	6.0	38.0	5.0	0.0	12.0	33.0	42.0	0.0	768.0	168.0	125.0	3661.0	1304.0	963.0	1601.0	382.0	440.0	78.0	0.0	5356.0	580.0	288.0	1704.0	0.0	329.0	1223.0	64.0	68.0	254.0	0.0	0.0	54.0	70.0	599.0	140.0	0.0	0.0	0.0	0.0	0.0	0.0	5486.0	0.0	0.0	828.0	0.0	0.0	0.0	0.0	0.0	3276.0	0.0	0.0	0.0	0.0	4564.0	166.0	0.0	0.0	28.0	42.0	0.0	0.0	986.0	8999.0	39.0	156.0	1064.0	226.0	0.0	4.0	0.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9908fffab7ed4f3bec44cda2f5084d49	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	182.0	0.0	0.0	0.0	0.0	634.0	659.0	2477.0	899.0	0.0	0.0	0.0	61.0	0.0	136.0	424.0	565.0	1152.0	1516.0	1202.0	113.0	0.0	14.0	0.0	0.0	81.0	159.0	63.0	2.0	17.0	70.0	75.0	0.0	0.0	0.0	12.0	0.0	353.0	0.0	209.0	183.0	91.0	291.0	237.0	119.0	2176.0	0.0	0.0	0.0	81.0	1613.0	951.0	248.0	430.0	367.0	280.0	231.0	622.0	926.0	15.0	113.0	148.0	264.0	171.0	223.0	136.0	55.0	154.0	0.0	0.0	0.0	0.0	216.0	0.0	201.0	0.0	355.0	761.0	73.0	295.0	66.0	66.0	1288.0	613.0	53.0	0.0	139.0	235.0	1686.0	2212.0	14.0	0.0	53.0	0.0	0.0	0.0	0.0	120.0	0.0	367.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	149.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	5.0	428.0	532.0	0.0	532.0	184.0	388.0	0.0	99.0	118.0	480.0	569.0	1472.0	1949.0	0.0	0.0	36.0	276.0	0.0	243.0	295.0	125.0	20.0	291.0	0.0	104.0	154.0	852.0	993.0	345.0	560.0	561.0	501.0	238.0	0.0	926.0	0.0	0.0	134.0	172.0	0.0	415.0	240.0	66.0	142.0	44.0	216.0	150.0	15.0	135.0	287.0	40.0	24.0	37.0	94.0	16.0	1420.0	2823.0	25.0	12081.0	430.0	266.0	356.0	531.0	0.0	103.0	114.0	371.0	150.0	0.0	20131.0	5.0	0.0	877.0	1149.0	761.0	1863.0	0.0	49.0	81.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	289.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	1146.0	0.0	0.0	0.0	943.0	192.0	559.0	71.0	0.0	53.0	0.0	0.0	0.0	829.0	0.0	480.0	349.0	0.0	0.0	17.0	0.0	25.0
d49783e7800974b5f2bcce554e26072e	14.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	883.0	335.0	0.0	6394.0	279.0	0.0	0.0	0.0	26.0	225.0	954.0	488.0	773.0	1823.0	790.0	950.0	548.0	259.0	487.0	108.0	0.0	36.0	0.0	0.0	17.0	0.0	30.0	41.0	0.0	0.0	0.0	26.0	0.0	0.0	33.0	59.0	0.0	0.0	97.0	0.0	0.0	2422.0	0.0	138.0	186.0	0.0	58.0	0.0	0.0	177.0	0.0	1062.0	1112.0	322.0	396.0	14.0	531.0	68.0	65.0	70.0	276.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	384.0	400.0	579.0	1799.0	426.0	2070.0	929.0	38.0	426.0	42.0	921.0	221.0	4.0	0.0	96.0	2579.0	593.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	1562.0	230.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	365.0	331.0	441.0	868.0	503.0	1055.0	234.0	725.0	124.0	1417.0	328.0	194.0	1208.0	0.0	0.0	67.0	265.0	245.0	509.0	792.0	462.0	0.0	0.0	201.0	0.0	90.0	2621.0	330.0	488.0	0.0	21.0	1556.0	627.0	0.0	320.0	805.0	0.0	118.0	532.0	656.0	0.0	47.0	9.0	129.0	0.0	46.0	292.0	0.0	169.0	120.0	0.0	4.0	73.0	67.0	0.0	733.0	364.0	0.0	3772.0	0.0	1289.0	782.0	600.0	0.0	487.0	195.0	165.0	768.0	0.0	8858.0	0.0	0.0	2680.0	2819.0	297.0	497.0	4.0	55.0	0.0	0.0	95.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1792.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.0	0.0	0.0	0.0	0.0	0.0	0.0	961.0	0.0	43.0	0.0	0.0	395.0	0.0	45.0	0.0	952.0	0.0	1451.0	778.0	113.0	0.0	750.0	0.0	28.0
df0e3d38eec730326754d8c17a8b8efe	0.0	4.0	33.0	0.0	14.0	15.0	0.0	0.0	0.0	0.0	493.0	0.0	0.0	12.0	112.0	377.0	423.0	0.0	239.0	0.0	0.0	140.0	62.0	499.0	389.0	125.0	0.0	361.0	216.0	135.0	144.0	0.0	0.0	28.0	46.0	16.0	20.0	27.0	3.0	0.0	100.0	67.0	0.0	0.0	35.0	24.0	31.0	728.0	271.0	974.0	139.0	1511.0	945.0	551.0	421.0	69.0	163.0	89.0	0.0	255.0	0.0	0.0	0.0	224.0	4.0	238.0	0.0	457.0	411.0	2.0	319.0	43.0	58.0	101.0	183.0	55.0	128.0	131.0	195.0	329.0	38.0	0.0	186.0	0.0	0.0	0.0	216.0	309.0	1887.0	2665.0	292.0	199.0	240.0	77.0	182.0	0.0	80.0	471.0	95.0	198.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	64.0	0.0	1167.0	448.0	0.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	1121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	0.0	0.0	314.0	456.0	406.0	1104.0	443.0	713.0	622.0	221.0	312.0	1246.0	1477.0	598.0	35.0	369.0	0.0	541.0	148.0	115.0	18.0	266.0	674.0	936.0	1426.0	665.0	169.0	88.0	0.0	312.0	809.0	578.0	505.0	1175.0	0.0	34.0	0.0	0.0	602.0	0.0	18.0	216.0	20.0	0.0	31.0	65.0	0.0	19.0	121.0	268.0	0.0	51.0	73.0	0.0	35.0	37.0	17.0	19.0	98.0	349.0	105.0	1803.0	305.0	818.0	866.0	1031.0	221.0	172.0	70.0	9165.0	79.0	31.0	2639.0	0.0	224.0	118.0	75.0	147.0	189.0	0.0	49.0	4.0	193.0	961.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	447.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2737.0	0.0	0.0	0.0	0.0	939.0	282.0	0.0	0.0	12.0	0.0	28.0	0.0	1059.0	3009.0	0.0	398.0	0.0	400.0	0.0	198.0	0.0	228.0	114.0	0.0	0.0	0.0	24.0	0.0	69.0	0.0
836cd5ea357ad392c00a7e48d921be1d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	468.0	0.0	11.0	7.0	3.0	531.0	0.0	3944.0	259.0	0.0	0.0	0.0	52.0	71.0	86.0	726.0	779.0	1133.0	564.0	0.0	0.0	0.0	64.0	23.0	0.0	18.0	29.0	0.0	0.0	0.0	0.0	7.0	0.0	44.0	0.0	35.0	18.0	2211.0	192.0	577.0	0.0	491.0	333.0	220.0	160.0	2059.0	0.0	0.0	0.0	190.0	0.0	0.0	0.0	0.0	0.0	372.0	0.0	14.0	0.0	0.0	209.0	68.0	81.0	118.0	253.0	70.0	74.0	38.0	0.0	34.0	0.0	0.0	270.0	304.0	0.0	0.0	733.0	2463.0	11.0	473.0	0.0	97.0	2400.0	429.0	7.0	0.0	205.0	0.0	163.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	1294.0	300.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	859.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	620.0	98.0	1091.0	780.0	1397.0	782.0	1740.0	15.0	72.0	39.0	2116.0	334.0	943.0	445.0	0.0	531.0	17.0	607.0	802.0	542.0	6.0	672.0	534.0	863.0	101.0	797.0	89.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	171.0	1315.0	44.0	0.0	635.0	0.0	0.0	65.0	38.0	24.0	109.0	99.0	408.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	521.0	365.0	33.0	2095.0	406.0	661.0	1077.0	0.0	0.0	437.0	78.0	36.0	1016.0	0.0	1249.0	0.0	1238.0	156.0	88.0	233.0	225.0	0.0	0.0	3.0	0.0	4.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	430.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	434.0	0.0	0.0	0.0	0.0	306.0	63.0	0.0	0.0	0.0	11.0	155.0	0.0	0.0	44.0	309.0	0.0	247.0	0.0	0.0	4.0	0.0	1031.0	0.0	916.0	0.0	0.0	0.0	0.0	25.0	0.0
922d33a2963d3e87a3d4df6b82371235	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	389.0	0.0	0.0	0.0	26.0	47.0	140.0	0.0	439.0	0.0	0.0	570.0	0.0	191.0	244.0	0.0	0.0	396.0	196.0	106.0	51.0	0.0	0.0	0.0	8.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	887.0	39.0	2010.0	221.0	284.0	151.0	117.0	1332.0	218.0	313.0	7.0	3178.0	0.0	0.0	699.0	263.0	0.0	200.0	53.0	0.0	6.0	45.0	0.0	0.0	38.0	122.0	15.0	0.0	31.0	0.0	229.0	4.0	0.0	72.0	0.0	553.0	0.0	382.0	0.0	0.0	36.0	53.0	27.0	204.0	2777.0	407.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	966.0	0.0	0.0	0.0	0.0	0.0	0.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	25.0	374.0	739.0	925.0	394.0	711.0	0.0	145.0	146.0	374.0	0.0	389.0	1314.0	0.0	228.0	0.0	235.0	0.0	295.0	0.0	204.0	0.0	0.0	227.0	141.0	0.0	59.0	0.0	1082.0	282.0	310.0	328.0	25.0	266.0	95.0	0.0	329.0	0.0	117.0	0.0	0.0	13.0	8.0	15.0	53.0	183.0	236.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	52.0	0.0	1557.0	128.0	675.0	446.0	0.0	0.0	0.0	144.0	163.0	59.0	0.0	10683.0	0.0	571.0	152.0	78.0	110.0	106.0	0.0	0.0	0.0	0.0	447.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	217.0	0.0	0.0	0.0	0.0	41.0	14.0	860.0	2131.0	2027.0	131.0	279.0	595.0	0.0	274.0	0.0	178.0	0.0	0.0	31.0	18.0	0.0	34.0	0.0	0.0
923f521b9cf313f1f95c9367e09bbc1c	26.0	0.0	0.0	191.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	260.0	2839.0	0.0	1251.0	0.0	0.0	66.0	156.0	0.0	0.0	799.0	320.0	171.0	1050.0	903.0	0.0	0.0	0.0	129.0	55.0	154.0	261.0	0.0	0.0	64.0	0.0	218.0	43.0	65.0	0.0	38.0	0.0	971.0	0.0	1466.0	0.0	28.0	622.0	1191.0	409.0	103.0	0.0	0.0	0.0	58.0	0.0	1949.0	0.0	1117.0	144.0	913.0	0.0	0.0	1445.0	43.0	132.0	286.0	273.0	64.0	84.0	205.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	1756.0	3257.0	2237.0	0.0	0.0	279.0	0.0	0.0	95.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	268.0	0.0	274.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	391.0	0.0	0.0	0.0	0.0	0.0	9.0	244.0	442.0	0.0	374.0	394.0	0.0	306.0	1949.0	2888.0	0.0	0.0	0.0	0.0	0.0	0.0	1583.0	0.0	0.0	63.0	567.0	110.0	0.0	315.0	196.0	182.0	103.0	186.0	0.0	0.0	241.0	0.0	350.0	0.0	7.0	0.0	0.0	1666.0	1942.0	0.0	0.0	1068.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	674.0	558.0	867.0	3475.0	0.0	41.0	61.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	684.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0
05dbbf0301a9625e1f1a41470a92f7fe	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	514.0	155.0	0.0	77.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	14.0	0.0	18.0	39.0	0.0	703.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	3.0	0.0	699.0	15.0	0.0	0.0	0.0	4.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	153.0	250.0	59.0	286.0	3.0	82.0	126.0	2775.0	68.0	0.0	0.0	0.0	0.0	184.0	0.0	0.0	108.0	247.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	78.0	1196.0	2852.0	2907.0	1060.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.0	0.0	0.0	0.0	0.0	27.0	8.0	0.0	0.0	223.0	0.0	0.0	7945.0	588.0	97.0	221.0	0.0	303.0	50.0	49.0	52.0	0.0	0.0	20.0	0.0	517.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	339.0	903.0	14752.0	11.0	0.0	20.0	778.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a9b24370bdb02a8ee91855de7b8b2813	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	416.0	0.0	0.0	0.0	0.0	0.0	15.0	21.0	0.0	0.0	0.0	88.0	0.0	260.0	191.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	11.0	0.0	43.0	968.0	208.0	29.0	105.0	169.0	180.0	0.0	1678.0	319.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	492.0	0.0	0.0	0.0	0.0	145.0	0.0	0.0	96.0	51.0	157.0	0.0	0.0	0.0	0.0	9.0	0.0	46.0	0.0	0.0	0.0	233.0	161.0	670.0	2072.0	216.0	301.0	39.0	83.0	138.0	46.0	209.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	199.0	0.0	0.0	0.0	0.0	0.0	0.0	185.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	392.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.0	0.0	0.0	1176.0	285.0	197.0	557.0	298.0	385.0	537.0	0.0	219.0	1486.0	170.0	54.0	201.0	0.0	0.0	1149.0	0.0	404.0	401.0	177.0	503.0	338.0	0.0	302.0	0.0	0.0	0.0	193.0	0.0	1260.0	508.0	341.0	0.0	0.0	0.0	294.0	0.0	69.0	0.0	0.0	0.0	0.0	14.0	14.0	0.0	0.0	0.0	342.0	0.0	0.0	151.0	0.0	31.0	45.0	0.0	0.0	286.0	72.0	0.0	745.0	0.0	439.0	530.0	0.0	0.0	54.0	70.0	7544.0	83.0	120.0	137.0	0.0	179.0	527.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	498.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	316.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	342.0	0.0	0.0	0.0	0.0	260.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1425.0	0.0	278.0	0.0	53.0	0.0	55.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
